# WTPN story ledger — RECONSTRUCTED 15 Aug 2026 after container loss. live-titles.tsv (both
# platforms, same dir) is the authoritative record of what is LIVE; grep BOTH before writing.
EP23	Burtonwood airfield (pub 3 Aug)	horror-rules rebuild
EP24	RAF Harrington Joe hole (pub 4 Aug)	rebuilt
EP25	Highgate Cemetery (pub 5 Aug)	rebuilt
EP26	St Michans crypt Dublin (pub 6 Aug, Cillian)	rebuilt
EP27	Wistmans Wood / Cabell tomb (pub 7 Aug)	rebuilt
EP28	Hexham Heads (pub 8 Aug)	729 views best recent
EP29	The Cage St Osyth (pub 9 Aug)	bookable-close test, failed
EP30	Crying Boy prints (pub 10 Aug)
EP31	Epworth Rectory Old Jeffrey (pub 11 Aug)	9.2 sh/1k winner band
EP33	South Shields Poltergeist 2006 (pub 12 Aug)	701 views
EP34	Chislehurst Caves GBP5 challenge (pub 13 Aug)	11.9 sh/1k best conversion
EP35	Queen Mary door 13 (pub 14 Aug)	328k-format test FAILED
EP36	Pontefract 30 East Drive (armed 15 Aug, 360917631)	best 4h open 415
EP37	Hampton Court CCTV 2003 (armed 16 Aug, 361180258)	v2 dread-first
EP38	Ben Macdui Grey Man	PULLED 13 Aug - DUPLICATE, already live both platforms. DO NOT REDO.
EP39	Cheltenham Ghost Despard (armed 17 Aug, 361645718)
EP40	Spring-heeled Jack Alsop 1838 (armed 18 Aug, 362064323)
EP41	Cooneen poltergeist Fermanagh (armed for 20 Aug, 363892259, Cillian)	19 Aug slot missed - no backfill
EP42	Borley Rectory wall writing (armed for 21 Aug, 363950072)	FIRST Top-20-rules episode
EP43	Busby Stoop Chair Thirsk (armed for 22 Aug, 364348384)	cursed-object; Top-20 rules; Loftus Hall REJECTED as dup of live Hellfire card-game video
EP44	Black Shuck Blythburgh 1577 (armed for 23 Aug, 364801788)	Top-20 rules; Gorbals Vampire REJECTED as dup of live Highgate Vampire; hound-adjacency w/ EP27 Cabell tomb flagged to user
EP45	Sauchie poltergeist 1960 (armed for 24 Aug, 365190340, Ally)	teacher/doctors witness chain; Top-20 rules
EP46	Renvyle House Yeats seance (BUILT 23 Aug; 25 Aug slot MISSED - fal locked; retarget 26 Aug on unlock; master in repo)	Cillian; Top-20 rules
NOTE	FAL-BALANCE	fal account locked 23 Aug (exhausted). No stills/clips until topped up at fal.ai/dashboard/billing. TikTok stats route: tools/tiktok_stats.sh (embed page + single-video pages).
NOTE	SCRAPPED-BY-USER	Glamis Castle. DO NOT REBUILD.
NOTE	SCRAPPED-BY-USER	Culloden Moor. DO NOT REBUILD.
NOTE	REJECTED-BY-USER	Treasurer's House York Roman legion. DO NOT PRODUCE.
NOTE	COVERED-VIRAL	Greyfriars MacKenzie / Edinburgh vaults = the 328k first post. DO NOT REDO.
NOTE	ALREADY-DONE	Newsham Park, Enfield, Cannock Chase black-eyed girl, Ballygally (Isobel), Mary Kings Close, Pendle, Wharram Percy, Sandwood Bay, Bodmin Jail, Crumlin Road, Ram Inn, Berkeley Square, Chained Oak, Overtoun, Skirrid, Filey ghost ship, Llangrannog Black Nun, Belfast Night Watch, Glasgow Royal Infirmary, Edinburgh piper, Glencoe, Leap Castle, Stocksbridge, Winnats, Willington Mill, Burton Agnes skull, Kinsale White Lady, Berkeley Sq, Tower ghosts, Dalley Lane, Yates Wine Lodge, 50 Berkeley Sq, Queen Mary, Pluckley(2025 most-haunted-village)	grep live-titles.tsv for the rest
STATS	24Aug-0844UTC	followers 4433 (+1) | Sauchie 3h: 190v 0lk 0sh | Shuck d1: 698v 2.0%lk 1sh | Busby d2: 739v 0sh | Borley d3: 662v 0sh | rules-era total 4 eps = 2 shares
STATS	25Aug-0844UTC	followers 4434 (+1) | Sauchie d1: 293v 1.7%lk 0sh (weak seed) | Shuck d2: 703v | Busby d3: 752v | Borley d4: 663v | MISSED NIGHT 25 Aug (fal locked, 3rd miss: 1/19/25 Aug)
EP47	WITNESS 1: Enfield WPC Heeps interview (REARMED for 28 Aug, 366747007)	NEW FORMAT LAUNCH; 2:12; 26 Aug publish FAILED (temp-bucket media expired) = missed night #4; replaces the 292-view Enfield ep (user deletes old in-app)
EP48	WITNESS 2: Cardiff/Pete, John Matthews + Fontana (rearmed for 27 Aug, 366746776, Rhys-Welsh)	2:27; SPR/broadcast-sourced
NOTE	PUBLISH-PIPELINE	26 Aug: posts must be created while the mc_upload temp URL is FRESH; verify the post's media field shows static.metricool.com (ingested) after create - if it still shows metricool-temp, recreate. saveExternalMediaFiles is read-only via API.
EP49	WITNESS 3: Willington Mill 1840, Dr Edward Drury letter (REARMED v2 for 29 Aug, 367920388, Geordie-Andy)	2:35; v2 = hook open "They carried me out of that house. I am a doctor."; old 367241031 + malformed 367917999 deleted; ingestion verified
STATS	27Aug-0850UTC	followers 4438 (+4, best day since 19 Aug) | CARDIFF WITNESS 4h: 441v 5.0%lk 0sh - fastest start in weeks, best like-rate since old era | Enfield witness pub 28th
EP50	WITNESS 4: Renvyle/Gogarty (REARMED v2 for 30 Aug, 367920465, JamesFitzgerald-Irish)	2:36; v2 = new hook segment g_open2 "A dead boy asked me for flowers."; old 367719751 deleted; ingestion verified
STATS	28Aug-0850UTC	followers 4440 (+2) | Cardiff d1: 688v 4.1%lk 0sh | ENFIELD 4h: 392v 5.6%lk 1sh (share in first 4h!) | witness era: like-rates 4-5.6% vs cinematic 1.4-3.0
NOTE	HOOK-STANDARD	28 Aug user: "it doesnt grab attention at all to start with, needs the hook" -> every witness ep opens t=0 with big-type hook block (DejaVuSerif-Bold 88, most impossible claim) while voice speaks the same claim from 0.45s; title/disclosure AFTER. Builder: tools/hook_block.py. First applied: EP49/EP50 v2 rebuilds.
EP51	WITNESS 5: Battersea 1956, Shirley Hitchings (armed for 31 Aug, 368155933, Eleanor-elderly-English 2qQJWjw5XdG80GreshqG)	2:35; hook "I was six inches above my bed."; new voice added from shared library; ingestion verified
STATS	29Aug-0850UTC	followers 4441 (+1) | WILLINGTON HOOK EP 4h: 134v 3.0%lk 0sh | ENFIELD d1: 696v 6.2%lk 3sh (4.3 sh/1k - best share day of any era since audit began) | Cardiff d2: 691v 4.1%lk 0sh | Willington published clean all 4 networks (first hook-standard publish)
EP52	WITNESS 6: Epworth 1716 "Old Jeffery", Emilia Wesley letters (armed for 1 Sep, 368402062, Fiamma)	2:37; hook "It answered my father. Knock for knock."; 3-week gap from EP31 cinematic run respected; ingestion verified
STATS	30Aug-0850UTC	followers 4444 (+3) | ENFIELD d2: 717v 6.0%lk 8sh = 11.2 sh/1k (rivals Chislehurst 11.9 record; the witness format SHARES) | Willington d1: 212v 3.8%lk 0sh (weak seed) | Renvyle 4h: 144v 5.6%lk | Cardiff d3: 695v | Renvyle published clean all 4
EP53	WITNESS 7: South Shields 2006, Darren Ritson investigator account (armed for 2 Sep, 368727929, George-Northern)	2:39; hook "I watched a knife throw itself across the kitchen."; 3-week gap from EP33 cinematic run respected; Playfair/Enfield foreword callback card; abusive text wordings excluded per facts.md
STATS	31Aug-0845UTC	followers 4444 (+0, flat) | Battersea 4h: 193v 2.1%lk (best 4h seed of last 3) | Renvyle d1: 230v 4.8%lk 0sh | Willington d2: 219v (stalled) | ENFIELD d3: 733v 8sh 10.9/1k (holding) | Cardiff d4: 697v | Battersea published clean all 4 | pattern: Enfield the lone breakout; weak seeds on 29-30 Aug eps
EP54	WITNESS 8: Hinton Ampner 1771, Mary Ricketts narrative (armed for 3 Sep, 369311392, Lily)	2:35; hook "Footsteps walked to the foot of my bed."; NEW case, never covered; brother = Admiral Earl St Vincent authority frame; skull-identity dispute dodged per facts.md; Ballechin benched (Goodrich Freer credibility risk noted)
STATS	01Sep-0845UTC	followers 4444 (+0) | BATTERSEA d1: 574v 2.1%lk 0sh (best d1 views since launch pair - hook+famous case) | Epworth 3h: 82v slow | Renvyle d2: 240 Willington d3: 227 (both stalled) | Enfield d4: 745v 8sh | Epworth published clean all 4
NOTE	LENGTH-DISCIPLINE	1 Sep: masters crept 2:36->2:39->2:42; EP54 pulled back to 2:35 via atempo 1.12 + tighter cards. Keep <=2:35 per bible unless user approves longer.
EP55	WITNESS 9: Tedworth 1662, John Mompesson magistrate letters (armed for 4 Sep, 369864696, JamesProfessional-WestCountry)	2:36; hook "The drummer was in prison. The drumming went on."; NEW case; Glanvill eyewitness + Drury gaol boast verbatim; Pepys card; t_open regenerated (dropped word caught by Scribe gate) + sting-placement bug caught and fixed
STATS	02Sep-0845UTC	followers 4445 (+1) | SOUTH SHIELDS 4h: 280v 2.9%lk (strongest post-launch open) | Epworth d1: 179v soft | Battersea d2: 579 (stalled after big d1) | Renvyle d3: 248 | Enfield d5: 753v 8sh | both publishes clean
EP56	WITNESS 10: Pontefract 30 East Drive, Diane Pritchard (armed for 5 Sep, 370402142, OliviaJ)	2:35; hook "It dragged me up the stairs by my throat."; 3-week gap from EP36 cinematic run respected; p_s1 number-drop caught by Scribe gate (retake + rewrite); tempo 1.15 to hold 2:35
STATS	03Sep-0845UTC	followers 4444 | SOUTH SHIELDS d1: 612v 2.3%lk 3sh = 4.9/1k (SECOND share-getter; both share-getters are professional-witness eps) | Hinton 3h: 140v | Epworth d2: 182 stalled | Battersea d3: 581 | Enfield d6: 762v 8sh | Hinton published clean all 4
EP57	WITNESS 11: Raynham Hall 1936 Brown Lady photo, Indre Shira (armed for 6 Sep, 370924602, StephenS-London)	2:32; hook "You have seen my photograph."; witness-retell of the old cinematic Raynham ep (well past 3wk gap); Harry Price verdict verbatim; deliberately never shows the photo; PROFESSIONAL-WITNESS pick per share pattern
STATS	04Sep-0845UTC	followers 4446 (+2) | TEDWORTH 4h: 303v 2.6%lk | Hinton d1: 591v 1.2%lk 0sh | South Shields d2: 622v 3sh | Battersea d4: 582 | Enfield d7: 774v 8sh | Tedworth published clean all 4 | SHARE PATTERN: only professional-witness eps (police officer, investigators) have taken shares - 2 of 2
EP58	WITNESS 12: Cheltenham 1882-89, Rosina Despard SPR record (armed for 7 Sep, 371401247, Alice)	2:35; hook "I put threads across the stairs. She walked through them."; EP39 cinematic gap = exactly 21 days; 2nd professional-witness pick (medical student -> physician); Myers quote + 17-witness card; Swinhoe ID kept tentative
STATS	05Sep-0845UTC	followers 4449 (+3, best since 27 Aug) | Tedworth d1: 654v 2.1%lk 0sh | Pontefract 4h: 249v | Raynham d0 (pub 6th) | Hinton d2: 593v | South Shields d3: 627v 3sh | Enfield d8: 778v 8sh | Pontefract published clean all 4
EP59	WITNESS 13: Hampton Court CCTV 2003, guard James Faukes (armed for 8 Sep, 371666861, Jeremy-NorthLondon)	2:33; hook "The face just didn't look human."; 3rd professional-witness pick; EP37 cinematic gap 23 days; ALL SIX segments Scribe-verified 100%; Faukes + Vikki Wood quotes verbatim; never names the ghost (palace says they don't know); Runcorn 1952 rejected (thin/conflicting sources + lodger's real death in the ending)
STATS	06Sep-0845UTC	followers 4449 (+0) | PONTEFRACT d1: 680v 1.9%lk 0sh (best d1 views of witness era) | Tedworth d2: 655v | Raynham pub 0845 (34v, too early) | Hinton d3: 638v | Enfield d9: 782v 8sh | Pontefract+Raynham published clean all 4 | 11L credit 21%
